ID#,2 Names, Êrelation#,name of relation,Corp #,Corp,Full name of Corporation,Type of business,Miscellaneous info
42920846,Victor  Villa,233,Mfinance,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
60920722,Stephen  Burton,234,Moperations,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
29975290,Hugo  Toro,235,Manager,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
24701235,Jan  Flachet,236,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,Prim: GDF Suez S.A.
29158959,Ricardo  G‡ndara,237,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
29158986,Willem  Twembeke,238,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,Prim: International Power plc
25986610,Manlio  Remedi,239,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
29975336,Juan  Aliste,240,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
26221724,Jorge  Mart’nez,241,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
60919587,B.  Bande,242,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
45789701,Philippe  Tordoir,243,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
183788598,Cristian  Eyzaguirre,244,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,
396552,Mario  Dur‡n,245,BoD,19,ECL:CI,E-CL ( Empresa El_ctrica del Norte Grande ),Electricity,Prim: Empresa Nacional de Electricidad S.A.
11711184,Joaquin  Velez,246,CEO/GM,20,ENDESA:CI,ENDESA (Empresa Nacional de Electricidad),Electricity,
380214,Eduardo  Johnson,247,CFO,20,ENDESA:CI,ENDESA (Empresa Nacional de Electricidad),Electricity,
8071894,Claudio  Guillard,248,CEO,20,ENDESA:CI,ENDESA (Empresa Nacional de Electricidad),Electricity,
396530,Jaime  Bauz‡,249,Director,20,ENDESA:CI,ENDESA (Empresa Nacional de Electricidad),Electricity,
83421907,R.  Rosenblut,250,BoD,20,ENDESA:CI,ENDESA (Empresa Nacional de Electricidad),Electricity,
59445122,Paolo  Bondi,251,BoD,20,ENDESA:CI,ENDESA (Empresa Nacional de Electricidad),Electricity,
741939,Felipe  Claro,252,BoD,20,ENDESA:CI,ENDESA (Empresa Nacional de Electricidad),Electricity,
